# cb 1180-22430 ool 790-16748 del=0 ncb=21251 nb=9250 nt=3000
# cbs=21251 per read=85.0 base=1180
1 16 224 32 0 0
2 5 2029 6 0 0
3 5 2030 6 0 0
4 5 2024 5 0 0
5 6 2025 7 0 0
6 5 2027 6 0 0
7 6 2028 7 0 0
8 3 1999 4 0 0
9 6 2020 7 0 0
10 5 2031 6 0 0
11 5 2028 6 0 0
12 4 1992 5 0 0
13 6 2030 6 0 0
14 5 2062 6 0 0
15 5 2049 6 0 0
16 5 1995 6 0 0
17 5 2065 6 0 0
18 5 2028 6 0 0
19 4 1999 5 0 0
20 5 2051 6 0 0
21 5 2055 6 0 0
22 5 2059 6 0 0
23 5 2019 5 0 0
24 4 2016 5 0 0
25 6 2052 6 0 0
26 5 2023 6 0 0
27 5 1993 5 0 0
28 5 2061 5 0 0
29 5 2004 6 0 0
30 4 2052 4 0 0
31 5 2033 6 0 0
32 5 2016 5 0 0
33 5 1989 5 0 0
34 5 2057 6 0 0
35 5 2026 6 0 0
36 4 2003 5 0 0
37 5 2018 6 0 0
38 5 1990 5 0 0
39 5 2007 5 0 0
40 5 2041 6 0 0
41 5 2055 6 0 0
42 6 2045 6 0 0
43 5 2063 6 0 0
44 5 2020 5 0 0
45 5 2031 5 0 0
46 6 2057 6 0 0
47 5 2025 6 0 0
48 5 2027 6 0 0
49 5 2028 6 0 0
50 5 2028 5 0 0
51 5 2012 5 0 0
52 5 2027 6 0 0
53 5 2033 6 0 0
54 5 2021 5 0 0
55 4 2026 5 0 0
56 6 2020 7 0 0
57 5 2000 5 0 0
58 5 2014 6 0 0
59 4 2027 5 0 0
60 5 2028 6 0 0
61 5 2029 6 0 0
62 5 2021 6 0 0
63 4 2022 5 0 0
64 6 2027 7 0 0
65 5 2030 6 0 0
66 5 2022 6 0 0
67 5 2024 6 0 0
68 5 2029 6 0 0
69 5 2026 6 0 0
70 5 2025 6 0 0
71 5 2020 5 0 0
72 5 2025 6 0 0
73 5 2028 6 0 0
74 5 2022 5 0 0
75 5 2028 6 0 0
76 5 2000 6 0 0
77 5 2023 6 0 0
78 5 2023 6 0 0
79 4 1996 5 0 0
80 5 1995 6 0 0
81 5 2057 6 0 0
82 5 2059 6 0 0
83 5 2037 6 0 0
84 5 2059 6 0 0
85 6 2051 7 0 0
86 5 2026 6 0 0
87 5 1996 5 0 0
88 5 1989 6 0 0
89 5 1990 6 0 0
90 5 2053 6 0 0
91 4 2006 5 0 0
92 5 2057 5 0 0
93 5 2031 6 0 0
94 5 2019 6 0 0
95 5 2060 6 0 0
96 5 2035 6 0 0
97 5 1993 5 0 0
98 4 1997 5 0 0
99 5 1989 6 0 0
100 5 2028 6 0 0
101 4 1992 5 0 0
102 5 2018 5 0 0
103 5 1989 5 0 0
104 5 2024 6 0 0
105 5 2026 6 0 0
106 5 2055 6 0 0
107 5 2060 6 0 0
108 5 2000 6 0 0
109 5 2030 6 0 0
110 5 2057 5 0 0
111 6 2026 7 0 0
112 6 2037 6 0 0
113 5 1991 6 0 0
114 4 2032 4 0 0
115 6 2027 6 0 0
