# cb 1180-22430 ool 790-16748 del=0 ncb=21251 nb=9250 nt=3000
# cbs=21251 per read=85.0 base=1180
1 0 0 0 0 0
2 20 0 21 0 0
3 73 0 74 0 0
4 143 0 144 0 0
5 227 0 228 0 0
6 319 0 321 0 0
7 411 0 412 0 0
8 507 0 508 0 0
9 593 0 594 0 0
10 665 0 667 0 0
11 718 0 720 0 0
12 747 0 748 0 0
13 753 0 755 0 0
14 735 0 737 0 0
15 695 0 696 0 0
16 633 0 634 0 0
17 557 0 558 0 0
18 471 0 472 0 0
19 373 0 374 0 0
20 282 0 283 0 0
21 187 0 189 0 0
22 110 0 111 0 0
23 47 0 48 0 0
24 5 0 6 0 0
25 0 0 0 0 0
26 0 0 0 0 0
27 24 0 25 0 0
28 74 0 76 0 0
29 143 0 144 0 0
30 226 0 227 0 0
31 318 0 319 0 0
32 407 0 409 0 0
33 503 0 504 0 0
34 591 0 592 0 0
35 663 0 664 0 0
36 715 0 716 0 0
37 745 0 746 0 0
38 750 0 752 0 0
39 733 0 734 0 0
40 694 0 696 0 0
41 633 0 634 0 0
42 559 0 559 0 0
43 473 0 474 0 0
44 374 0 375 0 0
45 281 0 282 0 0
46 189 0 190 0 0
47 110 0 111 0 0
48 48 0 49 0 0
49 7 0 8 0 0
50 0 0 0 0 0
51 0 0 0 0 0
52 25 0 26 0 0
53 74 0 76 0 0
54 143 0 145 0 0
55 227 0 228 0 0
56 319 0 321 0 0
57 409 0 411 0 0
58 509 0 510 0 0
59 593 0 595 0 0
60 665 0 667 0 0
61 719 0 720 0 0
62 748 0 749 0 0
63 753 0 755 0 0
64 734 0 735 0 0
65 691 0 692 0 0
66 631 0 632 0 0
67 554 0 556 0 0
68 468 0 470 0 0
69 371 0 373 0 0
70 278 0 279 0 0
71 187 0 188 0 0
72 107 0 108 0 0
73 46 0 47 0 0
74 7 0 8 0 0
75 0 0 0 0 0
76 0 0 0 0 0
77 25 0 26 0 0
78 74 0 75 0 0
79 144 0 145 0 0
80 227 0 228 0 0
81 320 0 321 0 0
82 411 0 412 0 0
83 510 0 511 0 0
84 594 0 595 0 0
85 665 0 666 0 0
86 717 0 719 0 0
87 747 0 748 0 0
88 753 0 754 0 0
89 735 0 735 0 0
90 695 0 697 0 0
91 633 0 634 0 0
92 556 0 558 0 0
93 470 0 472 0 0
94 373 0 374 0 0
95 280 0 282 0 0
96 189 0 191 0 0
97 109 0 110 0 0
98 47 0 48 0 0
99 5 0 6 0 0
100 0 0 0 0 0
101 0 0 0 0 0
102 21 0 22 0 0
103 73 0 74 0 0
104 140 0 141 0 0
105 226 0 227 0 0
